,lat,lng,views,dbscan
131,61.476502,-149.163112,413,0
132,61.476502,-149.163112,1114,0
133,61.476511,-149.16312,1221,0
134,61.476502,-149.163112,407,0
135,67.771609,-115.249328,1472,19
136,45.521292,-107.726773,1016,20
137,45.521292,-107.726773,1478,20
138,45.521292,-107.726773,1875,20
139,61.610102,-149.080506,976,0
140,61.610102,-149.080506,1784,0
141,61.610102,-149.080506,1660,0
142,61.608477,-149.073681,1264,0
143,61.608477,-149.073681,740,0
144,61.608477,-149.073681,1510,0
145,61.608477,-149.073681,818,0
146,61.608497,-149.073612,1477,0
147,61.608477,-149.073681,1044,0
148,60.845144,-148.988287,781,3
149,44.427312,-76.846662,1622,15
150,44.988902,-107.344279,729,9
151,44.992544,-107.365694,897,9
152,44.988902,-107.344279,1636,9
153,44.988902,-107.344279,1472,9
154,63.723738,-68.4484,2128,21
155,49.195502,-123.179992,43,22
156,47.379086,-76.977789,1330,-1
157,60.138844,-146.516503,181,-1
158,62.465677,-114.34775,2446,8
159,62.465677,-114.34775,3368,8
160,44.838261,-88.429637,541,-1
161,44.838352,-88.42947,2280,-1
162,62.465677,-114.34775,3629,8
163,62.465677,-114.34775,3374,8
164,62.465677,-114.34775,3183,8
165,46.332908,-109.43946,1162,23
166,46.332908,-109.43946,816,23
167,46.332516,-109.438558,875,23
168,60.849133,-148.995114,568,3
169,45.310157,-88.194551,6581,-1
170,46.332516,-109.438558,1063,23
171,44.191315,-107.004625,991,-1
172,67.315775,-150.158128,189,24
173,67.316023,-150.159609,154,24
174,64.913372,-147.935353,68,4
175,64.913622,-147.934798,98,4
176,64.914163,-147.934764,149,4
177,64.913877,-147.935114,79,4
178,64.913602,-147.935312,79,4
179,64.914088,-147.935103,156,4
180,44.998386,-106.962118,1538,9
181,44.998386,-106.962118,1215,9
182,44.998386,-106.962118,2378,9
183,64.913744,-147.935187,83,4
184,64.866713,-147.742442,183,4
185,64.866144,-147.740184,148,4
186,64.866086,-147.738095,106,4
187,64.86508,-147.735037,92,4
188,64.862863,-147.738014,93,4
189,64.852722,-147.712589,90,4
190,64.892911,-147.944437,86,4
191,46.96077,-94.610577,232,25
192,46.96077,-94.610577,605,25
193,46.96077,-94.610577,178,25
194,46.96077,-94.610577,171,25
195,46.96077,-94.610577,221,25
196,46.96077,-94.610577,169,25
197,46.962359,-94.608861,337,25
198,46.962359,-94.60885,786,25
